Simulation Time,Conveyor:Statistics:PartsMinTime,Pick And Place Process:Statistics:PartsMinTime,Conveyor #2:Statistics:PartsMinTime,Pick And Place Process #2:Statistics:PartsMinTime,Conveyor #3:Statistics:PartsMinTime,Pick And Place Process #3:Statistics:PartsMinTime,Conveyor #4:Statistics:PartsMinTime,Pick And Place Process #4:Statistics:PartsMinTime,Conveyor #5:Statistics:PartsMinTime,Pick And Place Process #5:Statistics:PartsMinTime,Conveyor #6:Statistics:PartsMinTime,Pick And Place Process #6:Statistics:PartsMinTime,Conveyor #7:Statistics:PartsMinTime,Conveyor #8:Statistics:PartsMinTime,Conveyor:Statistics:PartsMaxTime,Pick And Place Process:Statistics:PartsMaxTime,Conveyor #2:Statistics:PartsMaxTime,Pick And Place Process #2:Statistics:PartsMaxTime,Conveyor #3:Statistics:PartsMaxTime,Pick And Place Process #3:Statistics:PartsMaxTime,Conveyor #4:Statistics:PartsMaxTime,Pick And Place Process #4:Statistics:PartsMaxTime,Conveyor #5:Statistics:PartsMaxTime,Pick And Place Process #5:Statistics:PartsMaxTime,Conveyor #6:Statistics:PartsMaxTime,Pick And Place Process #6:Statistics:PartsMaxTime,Conveyor #7:Statistics:PartsMaxTime,Conveyor #8:Statistics:PartsMaxTime,Conveyor:Statistics:PartsTotalTime,Pick And Place Process:Statistics:PartsTotalTime,Conveyor #2:Statistics:PartsTotalTime,Pick And Place Process #2:Statistics:PartsTotalTime,Conveyor #3:Statistics:PartsTotalTime,Pick And Place Process #3:Statistics:PartsTotalTime,Conveyor #4:Statistics:PartsTotalTime,Pick And Place Process #4:Statistics:PartsTotalTime,Conveyor #5:Statistics:PartsTotalTime,Pick And Place Process #5:Statistics:PartsTotalTime,Conveyor #6:Statistics:PartsTotalTime,Pick And Place Process #6:Statistics:PartsTotalTime,Conveyor #7:Statistics:PartsTotalTime,Conveyor #8:Statistics:PartsTotalTime
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.21583818,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.21583818,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.21583818,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.21583818,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.64015862,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6401586,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.6401586,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.6401586,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.6401586,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.6401586,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6401586,0,0,0,0,0,0,0,0,0,0,0,0,0
